Fecha_Ejecucion;Sorteo_Objetivo;Jugada;SB;Inversion;Aciertos_Post;Alerta_SET;Correlacion_SET;Cambios_Top5;Estado_SET; Premio 
5/03/2026;2627;[3, 18, 23, 37, 40];10;9000;1N + 0SB;PREVIO_v8.4;PREVIO_v8.4;PREVIO_v8.4;PREVIO_v8.4;$ 0,00
12/03/2026;2630;[3, 11, 26, 29, 40];14;9000;1N + 0SB;PREVIO_v8.4;PREVIO_v8.4;PREVIO_v8.4;PREVIO_v8.4;$ 0,00
19/03/2026;2633;[6, 7, 19, 29, 42];10;9000;1N + 0SB;PREVIO_v8.4;PREVIO_v8.4;PREVIO_v8.4;PREVIO_v8.4;$ 0,00
26/03/2026;2636;[3, 11, 20, 30, 42];10;9000;1N + 0SB;SI;-0.1211;5;ALERTA;$ 0,00
2/04/2026;2639;[9, 15, 17, 34, 40];2;9000;1N + 0SB;SI;-0.1052;5;ALERTA;$ 0,00
9/04/2026;2642;[7, 9, 26, 32, 36];2;9000;1N + 0SB;SI;-0.1199;5;ALERTA;$ 0,00
17/04/2026;2645;[5, 9, 28, 33, 42];10;9000;2N + 1SB;SI;-0.0993;5;ALERTA;$ 10.800,00
23/04/2026;2648;[7, 16, 23, 33, 40];14;9000;0N + 0SB;SI;-0.089;5;ALERTA; $ -   
30/04/2026;2651;[8, 11, 16, 39, 43];10;9000;0N + 0SB;SI;0.0074;5;ALERTA; $ -   
7/05/2026;2654;[1, 16, 25, 30, 35];10;9000;1N + 1SB;SI;0.0145;4;ALERTA;$ 6.000,00
14/05/2026;2657;[7, 11, 16, 37, 38];9;9000;1N + 0SB;SI;0.0152;4;ALERTA; $ -   
21/05/2026;2660;[8, 11, 28, 29, 34];14;9000;1N + 0SB;SI;0.0433;4;ALERTA; $ -   
30/05/2026;2663;[9, 15, 18, 37, 40];10;9000;0N + 0SB;SI;0.0844;4;ALERTA; $ -   
6/06/2026;2666;[12, 13, 17, 25, 32];10;9000;1N + 0SB;SI;0.1041;5;ALERTA; $ -   
11/06/2026;2669;[11, 14, 28, 30, 35];5;9000;1N + 0SB;SI;0.2154;5;ALERTA; $ -   
18/06/2026;2672;[6, 13, 25, 32, 43];5;9000;1N + 0SB;SI;0.0913;5;ALERTA;$ 0,00
25/06/2026;2675;[11, 16, 18, 26, 43];5;9000;Pendiente;SI;0.0409;5;ALERTA;$ 0,00
